created_at,Polarity,Subjectivity,Aggregate Score
2020/4/19,0,0,0
2020/4/19,0,0,0
2020/4/19,-0.067857143,0.610714286,0.271428571
2020/4/19,0,0,0
2020/4/19,0.1,0.2,0.15
2020/4/19,0,0,0
2020/4/19,0.068181818,0.260606061,0.164393939
2020/4/19,-1,1,0
2020/4/19,0,0,0
2020/4/19,0,0.75,0.375
2020/4/19,0.432142857,0.539285714,0.485714286
2020/4/19,0,1,0.5
2020/4/19,0,0.678571429,0.339285714
2020/4/19,0.25,0.333333333,0.291666667
2020/4/19,0.1,0.3,0.2
2020/4/19,-0.127777778,0.144444444,0.008333333
2020/4/19,-0.133333333,0,-0.066666667
2020/4/19,0,0,0
2020/4/19,0.285714286,0.535714286,0.410714286
2020/4/19,0.188888889,0.211111111,0.2
2020/4/19,0.2,0.4,0.3
2020/4/19,0.358333333,0.558333333,0.458333333
2020/4/19,0.5,0.5,0.5
2020/4/19,0,0,0
2020/4/19,0,0,0
2020/4/19,0.2,0.4,0.3
2020/4/19,0,0,0
2020/4/19,0.196428571,0.283928571,0.240178571
2020/4/19,0.071428571,0.18452381,0.12797619
2020/4/19,0.005555556,0.466666667,0.236111111
2020/4/19,0,0,0
2020/4/19,0.166666667,0.8,0.483333333
2020/4/19,0.068181818,0.227272727,0.147727273
2020/4/19,0.5,0.5,0.5
2020/4/19,0,0,0
2020/4/19,0,0.5,0.25
2020/4/19,0.136363636,0.454545455,0.295454545
2020/4/19,0.1,1,0.55
2020/4/19,0.1,0.15,0.125
2020/4/19,-0.3,0.2,-0.05
2020/4/19,0,0,0
2020/4/19,0,0.133333333,0.066666667
2020/4/19,0.1,0.45,0.275
2020/4/19,-0.6,0.9,0.15
2020/4/19,-0.291666667,0.7,0.204166667
2020/4/19,0,0.5625,0.28125
2020/4/19,0.5,1,0.75
2020/4/19,0.068181818,0.227272727,0.147727273
2020/4/19,-0.066666667,0.916666667,0.425
2020/4/19,0.166666667,0.216666667,0.191666667
2020/4/19,0.166666667,0.333333333,0.25
2020/4/19,-0.125,0.375,0.125
2020/4/19,-0.6,0.5,-0.05
2020/4/19,0,0.1,0.05
2020/4/19,0.216666667,0.4,0.308333333
2020/4/19,0,0,0
2020/4/19,0,0,0
2020/4/19,0,0.058333333,0.029166667
2020/4/19,0,0,0
2020/4/19,0.45,0.45,0.45
2020/4/19,-0.056818182,0.375,0.159090909
2020/4/19,0,0,0
2020/4/19,-0.1,0.55,0.225
2020/4/19,0,0,0
2020/4/19,0,0,0
2020/4/19,-0.1,0.333333333,0.116666667
2020/4/19,0,0,0
2020/4/19,0,0,0
2020/4/19,0.033333333,0.233333333,0.133333333
2020/4/19,0.5,0.5,0.5
