"pred" ""
"2020-03-09" -0.00643333610507018 -1
"2020-03-10" 0.00388418127331591 0
"2020-03-11" 0.0128269696426596 1
"2020-03-12" -0.00337799753717493 0
"2020-03-13" 0.00390197234764596 0
"2020-03-14" 0.00416151593792152 0
"2020-03-15" 0.00491946510588788 0
"2020-03-16" -0.00422213152285267 0
"2020-03-17" 0.000239691503273882 0
"2020-03-18" 0.0298148802411625 1
"2020-03-19" -0.00284847568710952 0
"2020-03-20" 0.00145259654938558 0
"2020-03-21" 0.0188782692337274 1
"2020-03-22" -0.00251874302766279 0
"2020-03-23" -0.0118360088547382 -1
"2020-03-24" -0.00513950064432661 -1
"2020-03-25" 0.00254387340273272 0
"2020-03-26" 0.00382007459248928 0
"2020-03-27" 0.00158339879460043 0
"2020-03-28" 0.000668627536174205 0
"2020-03-29" 0.0125177390333422 1
"2020-03-30" -0.00688662636566906 -1
"2020-03-31" 0.00460095190244508 0
"2020-04-04" -0.0087679527268291 -1
"2020-04-05" 0.0183122999952127 1
"2020-04-06" 0.0143922397396035 1
"2020-04-07" -0.00946100900171361 -1
"2020-04-08" 0.00448765380900648 0
"2020-04-09" -0.0112828177896644 -1
"2020-04-10" 0.0116721847865917 1
"2020-04-11" 0.0041079026831034 0
"2020-04-12" -0.0174953426270565 -1
"2020-04-13" -0.0031170369160853 0
"2020-04-14" 0.00844968641131345 1
"2020-04-15" -0.0022793082174525 0
"2020-04-16" -0.000156019630309297 0
"2020-04-17" -0.00152454773672385 0
"2020-04-18" 0.00502959836535014 1
"2020-04-19" 0.000297713640135191 0
"2020-04-20" -0.00239876758442344 0
"2020-04-21" 0.0132541679256408 1
"2020-04-22" -0.000267163202125666 0
"2020-04-23" 0.0224739809076517 1
"2020-04-24" 0.0116907645300888 1
"2020-04-25" 0.0082556307057947 1
